"","boo","m_inc","m_finc"
"1","безпека",142508,98375.5
"2","держадміністрація",84478,33800
"3","держслужба",142135.84,24083
"4","Інше",144783,32623.5
"5","кабмін",204155.28,93971.205
"6","міліція",75626,15110
"7","міністерство",68432,26781
"8","міська рада",142388,30720
"9","Нацбанк",3729219,214391.84
"10","облрада",193962.5,42459.555
"11","офіс президента",313130,262259
"12","парламент",250495.525,38314
"13","прокуратура",114259,17880
"14","суд",242647.5,24635
"15","фонд",169777.47,0
"16","юстиція",48499,30440
